postalcode,District,Latitude,Longitude,Population
76088,Weatherford,32.842085,-97.90477,8959
76092,Southlake,32.946678,-97.14523,21068
76093,Rio Vista,32.220267,-97.39036,1743
76102,Fort Worth,32.75388,-97.32987,8432
76103,Fort Worth,32.745681,-97.26563,14302
76104,Fort Worth,32.730265,-97.32002,17511
76105,Fort Worth,32.724831,-97.26992,22047
76106,Fort Worth,32.798429,-97.354,51700
76107,Fort Worth,32.738481,-97.38424,26665
76108,Fort Worth,32.762563,-97.48079,26423
76109,Fort Worth,32.699565,-97.37808,24007
76110,Fort Worth,32.706331,-97.33787,32742
76111,Fort Worth,32.778479,-97.30099,20503
76112,Fort Worth,32.744032,-97.21957,39436
76114,Fort Worth,32.781329,-97.40099,24438
76115,Fort Worth,32.680333,-97.33579,20009
76116,Fort Worth,32.72228,-97.44409,45343
76117,Haltom City,32.805379,-97.27036,29316
76118,Richland Hills,32.80533,-97.22264,12602
76119,Fort Worth,32.691033,-97.26479,40484
76120,Fort Worth,32.762631,-97.17527,9928
76123,Fort Worth,32.623807,-97.37548,11636
76126,Benbrook,32.649476,-97.49124,15454
76127,Fort Worth,32.772063,-97.42165,289
76129,Fort Worth,32.771419,-97.291484,2833
76131,Fort Worth,32.873017,-97.34622,7207
76132,Fort Worth,32.670345,-97.4143,21542
76133,Fort Worth,32.655401,-97.37765,46073
76134,Fort Worth,32.649855,-97.33358,18575
76135,Fort Worth,32.823629,-97.45167,14989
76137,Fort Worth,32.86814,-97.28566,39706
76140,Fort Worth,32.630268,-97.27102,18632
76148,Watauga,32.869384,-97.25123,24700
76155,Fort Worth,32.830932,-97.04778,2626
76164,Fort Worth,32.771419,-97.291484,16748
76177,Fort Worth,32.949819,-97.31406,45
76179,Fort Worth,32.876475,-97.41249,20644
76180,North Richland Hills,32.855666,-97.21818,54195
76182,North Richland Hills,32.771419,-97.291484,28209
76201,Denton,33.226598,-97.13061,48808
76205,Denton,33.16156,-97.10376,35424
76207,Denton,33.236827,-97.16941,5968
76208,Denton,33.198442,-97.06078,10929
76209,Denton,33.23552,-97.112743,133661
76210,Denton,33.143186,-97.088337,39556
76225,Alvord,33.360331,-97.69158,2371
76226,Lantana,33.105309,-97.16294,6870
76227,Aubrey,33.274761,-96.99457,6742
76234,Decatur,33.263039,-97.55657,12862
76244,Fort Worth,32.771419,-97.291484,77496
76247,Fort Worth,33.08704,-97.30384,5503
76248,Keller,32.92704,-97.2506,27924
76249,Krum,33.270036,-97.24859,4732
76258,Pilot Point,33.385645,-96.95213,5886
76259,Ponder,33.187644,-97.29676,2824
76262,Trophy Club,33.000177,-97.21871,15475
76266,Sanger,33.358871,-97.18944,10353
76426,Bridgeport,33.197313,-97.80932,9541
76431,Chico,33.293652,-97.8597,3135
76462,Lipan,32.517753,-98.03379,2416
76476,Tolar,32.387648,-97.93959,2145
76487,Poolville,33.009411,-97.89968,1670
76490,Whitt,32.95802,-98.01942,60
76623,Avalon,32.221421,-96.7832,242
76651,Italy,32.175783,-96.88018,3242
76670,Milford,32.111683,-96.97377,1171
